ZIP Code,Latitude,Longitude
91107,34.16423960000001,-118.0830047
90089,34.0220127,-118.2892046
94720,37.87015100000001,-122.2594606
94112,37.72254909999999,-122.4410618
91330,34.2489458,-118.5258067
92121,32.8981142,-117.2029363
91711,34.1707374,-117.702148
93943,36.5964368,-121.8740501
93023,34.5125711,-119.3714909
94710,37.8645848,-122.2965778
90277,33.8322129,-118.3870991
93106,34.4135868,-119.8496976
94920,37.8839827,-122.4580469
91741,34.1568319,-117.8428651
95054,37.3986039,-121.9643745
95010,36.9764598,-121.9501551
94305,37.4135757,-122.1689284
91604,34.1366259,-118.3987842
94015,37.68000019999999,-122.4863492
90095,34.070264,-118.4440562
91320,34.1810666,-118.9470422
95521,40.8805372,-124.0874754
95064,36.9923139,-122.0581762
90064,34.0386656,-118.4221519
94539,37.5148444,-121.9131761
94104,37.7911148,-122.4021273
94117,37.7717185,-122.4438929
94801,37.9429522,-122.3900901
94035,37.41752,-122.0525
92647,33.7222674,-118.0010421
95814,38.5777528,-121.4941738
94114,37.7561438,-122.4325682
94115,37.7877522,-122.4382307
92672,33.4154744,-117.5848025
94122,37.7597481,-122.4750292
90019,34.0489277,-118.3403506
95616,38.5474428,-121.7765309
94065,37.5331558,-122.2483726
95014,37.31317,-122.0723816
91380,34.5,-118.4
95747,38.7902545,-121.3770336
92373,34.0127473,-117.1617685
92093,32.88435520000001,-117.2338066
94005,37.6948419,-122.4070834
90245,33.9150066,-118.4046264
95819,38.5678631,-121.4399041
94022,37.3694009,-122.1405413
90404,34.02875,-118.4717975
93407,35.3041998,-120.6631289
94523,37.9448915,-122.0723816
90024,34.0631451,-118.4367551
91360,34.2024698,-118.8741429
95670,38.5961116,-121.2969674
95123,37.2374847,-121.8277925
90045,33.9516114,-118.3875775
91335,34.2035088,-118.5389414
93907,36.7918545,-121.6511258
92007,33.0170252,-117.2734901
94606,37.7944092,-122.2455364
94611,37.8336281,-122.2029832
94901,37.9650627,-122.503327
92220,33.9273122,-116.8674757
93305,35.3964972,-118.9819731
95134,37.4308503,-121.9529992
94612,37.8113159,-122.2682245
92507,33.9734553,-117.3263893
91730,34.0965313,-117.5848025
94501,37.7712165,-122.2824021
94303,37.4530553,-122.1178261
94105,37.7890183,-122.3915063
94550,37.6536947,-121.6739371
92612,33.6588951,-117.8282121
95617,38.55,-121.74
92374,34.0708773,-117.1558867
94080,37.6537343,-122.4083383
94608,37.837959,-122.2824021
93555,35.5897118,-117.6904167
93311,35.1268513,-119.1855785
94704,37.86373760000001,-122.2682245
92717,49.8423357,12.1223034
92037,32.8283259,-117.255854
95136,37.2692142,-121.8505679
94542,37.6561165,-122.0326019
94143,37.7642093,-122.4571623
91775,34.1232517,-118.0830047
92703,33.7526686,-117.9190418
92354,34.0484387,-117.2499749
92024,33.052083,-117.2793685
92831,33.881922,-117.8956062
92833,33.8749591,-117.9659037
94304,37.3813444,-122.1802812
90057,34.06170609999999,-118.2789735
92130,32.9436607,-117.2088167
91301,34.1129907,-118.754782
92096,33.1352287,-117.1610333
92646,33.6587745,-117.9659037
92182,32.7759882,-117.072053
92131,32.9260549,-117.0929286
93720,36.8638688,-119.7715563
90840,33.7838081,-118.1206801
95035,37.4323716,-121.8993526
93010,34.2330908,-119.0809012
94928,38.3437823,-122.7011951
95831,38.4901072,-121.5255815
91770,34.06173649999999,-118.0830047
90007,34.0295114,-118.2848199
94102,37.7786871,-122.4212424
91423,34.1482691,-118.4338345
93955,36.6216869,-121.7993168
94107,37.7618242,-122.3985871
92834,33.8740731,-117.9026351
93117,34.4301656,-119.8696691
94551,37.7537708,-121.7879244
94596,37.8824054,-122.026918
94025,37.4484914,-122.1802812
94545,37.6063621,-122.1178261
95053,37.348667,-121.936645
90036,34.0664817,-118.3520389
91125,34.1378866,-118.1247032
95120,37.1696999,-121.8448745
94706,37.8883952,-122.2965778
95827,38.5544039,-121.3255688
90503,33.8409696,-118.3520389
90250,33.9127807,-118.3520389
95817,38.5500434,-121.4599012
95503,40.7306343,-124.082682
93111,34.4630827,-119.8062912
94132,37.7181398,-122.4863492
95818,38.56030560000001,-121.4970294
91942,32.7749487,-117.0146736
90401,34.0126379,-118.495155
93524,34.9326031,-117.9073244
95133,37.3716914,-121.8619539
92173,32.5497444,-117.0382158
94043,37.4062237,-122.0781663
92521,33.9756518,-117.3311106
92122,32.8563846,-117.2029363
93118,34.4397622,-119.8301189
92697,33.6471239,-117.8421325
94577,37.7199247,-122.1689284
91345,34.264995,-118.4571974
94123,37.8020405,-122.4382307
92152,32.7082449,-117.2492384
91355,34.4400287,-118.5914696
94609,37.8321173,-122.2625529
94306,37.4177563,-122.1235054
96150,38.8864448,-119.9971769
94110,37.7485824,-122.4184108
94707,37.8983665,-122.2795667
91326,34.2894584,-118.5622893
90291,33.9962144,-118.4688776
92807,33.8459536,-117.7901088
95051,37.3598283,-121.9814354
94085,37.3895297,-122.0183914
92677,33.5320292,-117.702148
92614,33.6832497,-117.8340735
92626,33.6834142,-117.9073244
94583,37.7624642,-121.9814354
92103,32.749789,-117.1676501
92691,33.6062809,-117.6728185
92407,34.216765,-117.3851496
90504,33.8673266,-118.3286614
94002,37.5178022,-122.2900288
95039,36.8225884,-121.7765309
94063,37.5021585,-122.2086579
94923,38.3251691,-123.0451347
95023,36.9119865,-121.3084088
90058,34.00637469999999,-118.2234229
92126,32.9184763,-117.1382404
94118,37.7822891,-122.463708
90029,34.0880507,-118.2965121
92806,33.8362104,-117.8721676
94806,37.9759027,-122.3447611
92110,32.7657318,-117.199996
94536,37.5641425,-122.004179
90623,33.8477954,-118.0449554
92069,33.1630271,-117.1617685
92843,33.7675239,-117.9424743
92120,32.7926264,-117.0735241
95605,38.5974642,-121.531291
90740,33.7535679,-118.0830047
91207,34.1893001,-118.2702036
95929,39.735769,-121.8504463
93437,34.7386458,-120.5509358
90630,33.816539,-118.0361736
90034,34.0324632,-118.395863
90266,33.8908371,-118.3987842
95630,38.6061114,-121.1022942
93657,36.7916817,-119.4411476
92038,32.8470987,-117.2727893
91304,34.2249609,-118.6556478
92606,33.6912614,-117.8223506
92192,32.8511526,-117.2152819
90745,33.8232001,-118.2585096
95060,37.0105307,-122.1178261
94301,37.4457966,-122.1575745
92692,33.6147846,-117.637617
92101,32.7269669,-117.1647094
94610,37.8104485,-122.2398636
90254,33.8600693,-118.3987842
94590,38.1052454,-122.2483726
92028,33.3826505,-117.2440957
92054,33.1924489,-117.3675233
92029,33.0852605,-117.1382404
93105,34.4402467,-119.7289889
91941,32.7699547,-116.9911288
92346,34.1286356,-117.2089374
94402,37.5245965,-122.3390936
94618,37.8438192,-122.2398636
94904,37.941063,-122.5655549
9307,,
95482,39.14119700000001,-123.213851
91709,33.959453,-117.7256083
91311,34.2710376,-118.61481
94509,38.0083802,-121.7993168
92866,33.78344939999999,-117.8457956
91745,33.9990858,-117.9834738
94111,37.79593620000001,-122.4000032
94309,37.42,-122.17
90073,34.0522561,-118.452087
92333,34.2636333,-116.9734685
90505,33.8101772,-118.3520389
94998,38.1,-122.57
94086,37.371859,-122.0212337
94709,37.8796524,-122.2668066
95825,38.5890819,-121.4084731
90509,33.83,-118.33
93108,34.4381407,-119.6151426
94588,37.6873908,-121.9131761
91706,34.0812006,-117.9834738
92109,32.7920948,-117.2323367
92068,33.29,-117.31
95841,38.6614578,-121.3484448
92123,32.8102534,-117.1323579
91342,34.3023759,-118.3695699
90232,34.0236878,-118.3900204
92634,20.7136833,-98.193961
91006,34.1172361,-118.0244639
91768,34.0648167,-117.7783831
90028,34.1012181,-118.325739
92008,33.1412124,-117.3205123
95112,37.3456227,-121.8847222
92154,32.5967198,-116.9028125
92115,32.7612759,-117.0735241
92177,32.8241765,-117.2315546
90640,34.0149091,-118.1064156
94607,37.8134679,-122.307917
92780,33.7372177,-117.8135579
90009,33.9532336,-118.3869165
92518,33.888079,-117.2734901
91007,34.1216975,-118.0478826
93014,34.4,-119.52
94024,37.3478257,-122.1007867
90027,34.1220545,-118.2935891
95207,37.9983748,-121.3198491
90717,33.7950887,-118.319894
94534,38.2672631,-122.1064668
94010,37.5685247,-122.367428
