,Experience,Income,Family,CCAvg,Education,Mortgage,Personal Loan,Securities Account,CD Account,Online,CreditCard
0,1,49,4,1.6,1,0,0,1,0,0,0
1,19,34,3,1.5,1,0,0,1,0,0,0
2,15,11,1,1.0,1,0,0,0,0,0,0
3,9,100,1,2.7,2,0,0,0,0,0,0
4,8,45,4,1.0,2,0,0,0,0,0,1
5,13,29,4,0.4,2,155,0,0,0,1,0
6,27,72,2,1.5,2,0,0,0,0,1,0
7,24,22,1,0.3,3,0,0,0,0,0,1
8,10,81,3,0.6,2,104,0,0,0,1,0
9,9,180,1,8.9,3,0,1,0,0,0,0
10,39,105,4,2.4,3,0,0,0,0,0,0
11,5,45,3,0.1,2,0,0,0,0,1,0
12,23,114,2,3.8,3,0,0,1,0,0,0
13,32,40,4,2.5,2,0,0,0,0,1,0
14,41,112,1,2.0,1,0,0,1,0,0,0
15,30,22,1,1.5,3,0,0,0,0,1,1
16,14,130,4,4.7,3,134,1,0,0,0,0
17,18,81,4,2.4,1,0,0,0,0,0,0
18,21,193,2,8.1,3,0,1,0,0,0,0
19,28,21,1,0.5,2,0,0,1,0,0,1
20,31,25,4,0.9,2,111,0,0,0,1,0
21,27,63,3,2.0,3,0,0,0,0,1,0
22,5,62,1,1.2,1,260,0,0,0,1,0
23,18,43,2,0.7,1,163,0,1,0,0,0
24,11,152,2,3.9,1,159,0,0,0,0,1
25,19,29,3,0.5,1,97,0,0,0,1,0
26,16,83,4,0.2,3,0,0,0,0,0,0
27,20,158,1,2.4,1,0,0,0,0,1,1
28,30,48,1,2.2,3,0,0,0,0,1,1
29,13,119,1,3.3,2,0,1,0,1,1,1
30,35,35,1,1.2,3,122,0,0,0,1,0
31,16,29,1,2.0,2,0,0,0,0,1,0
32,28,41,2,0.6,3,193,0,0,0,0,0
33,6,18,3,0.9,3,0,0,0,0,0,0
34,5,50,4,1.8,3,0,0,0,0,1,0
35,24,81,3,0.7,1,0,0,0,0,0,0
36,35,121,1,2.9,1,0,0,0,0,0,1
37,25,71,1,1.4,3,198,0,0,0,0,0
38,18,141,3,5.0,3,0,1,1,1,1,0
39,13,80,4,0.7,3,285,0,0,0,1,0
40,32,84,3,1.6,3,0,0,1,0,0,0
41,9,60,3,2.3,1,0,0,0,0,0,0
42,7,132,4,1.1,2,412,1,0,0,1,0
43,15,45,1,0.7,1,0,0,0,0,1,0
44,20,104,1,5.7,1,0,0,0,0,1,1
45,31,52,4,2.5,1,0,0,0,0,0,1
46,14,43,3,0.7,2,153,0,0,0,1,0
47,12,194,4,0.2,3,211,1,1,1,1,1
48,26,81,2,4.5,3,0,0,0,0,0,1
49,16,49,1,1.8,1,0,0,0,0,0,1
50,8,8,4,0.7,2,0,0,1,0,1,0
51,37,131,1,2.9,1,0,0,0,0,1,0
52,6,72,1,0.1,1,207,0,0,0,0,0
53,26,190,3,2.1,3,240,1,0,0,1,0
54,5,44,1,0.2,3,0,0,0,0,1,0
55,17,139,2,8.0,1,0,0,0,0,1,0
56,30,29,3,0.1,2,0,0,1,1,1,0
57,31,131,2,1.2,3,0,1,0,0,0,0
58,2,93,2,0.2,1,0,0,0,0,0,0
59,5,188,2,4.5,1,455,0,0,0,0,0
