"Position","Tarjeta","Marca","tags","Precios"
1,"Nissan Qashqai
Advance Aut
Bogota
33.000 Km
1998
Placa **7
$87.000.000
Cuota mes aprox.*
$1.552.703
Contactar vendedor","Nissan Qashqai
Advance Aut","Bogota
33.000 Km
1998
Placa **7","$87.000.000
Cuota mes aprox.*
$1.552.703"
2,"Renault Logan
Privilege
Bogota
64.800 Km
2017
Placa **7
$45.900.000
Cuota mes aprox.*
$819.184
Contactar vendedor","Renault Logan
Privilege","Bogota
64.800 Km
2017
Placa **7","$45.900.000
Cuota mes aprox.*
$819.184"
3,"Renault Captur
Intens
Bogota
10.381 Km
2022
Placa **6
$92.900.000
Cuota mes aprox.*
$1.658.001
Contactar vendedor","Renault Captur
Intens","Bogota
10.381 Km
2022
Placa **6","$92.900.000
Cuota mes aprox.*
$1.658.001"
4,,,,
5,"Volkswagen Jetta
TSI 1.4 Comfortline Aut
Bogota
64.000 Km
2019
Placa **2
$67.000.000
Cuota mes aprox.*
$1.195.759
Contactar vendedor","Volkswagen Jetta
TSI 1.4 Comfortline Aut","Bogota
64.000 Km
2019
Placa **2","$67.000.000
Cuota mes aprox.*
$1.195.759"
6,"Chevrolet Beat
1.2 LTZ
Bogota
32.000 Km
2019
Placa **9
$45.500.000
Cuota mes aprox.*
$812.045
Contactar vendedor","Chevrolet Beat
1.2 LTZ","Bogota
32.000 Km
2019
Placa **9","$45.500.000
Cuota mes aprox.*
$812.045"
7,"Renault Kwid
Iconic
Bogota
26.000 Km
2022
Placa **2
$48.000.000
Cuota mes aprox.*
$856.663
Contactar vendedor","Renault Kwid
Iconic","Bogota
26.000 Km
2022
Placa **2","$48.000.000
Cuota mes aprox.*
$856.663"
8,"Chevrolet Onix
1.4 LTZ Automatico
Bogota
47.000 Km
2019
Placa **9
$52.000.000
Cuota mes aprox.*
$928.052
Contactar vendedor","Chevrolet Onix
1.4 LTZ Automatico","Bogota
47.000 Km
2019
Placa **9","$52.000.000
Cuota mes aprox.*
$928.052"
9,"Mazda 3
1.6 Hatchback Mecanico
Bogota
178.000 Km
2007
Placa **4
$26.000.000
Cuota mes aprox.*
$464.026
Contactar vendedor","Mazda 3
1.6 Hatchback Mecanico","Bogota
178.000 Km
2007
Placa **4","$26.000.000
Cuota mes aprox.*
$464.026"
10,"Ford F150
Raptor 3.5 Doble cabina
Bogota
77.000 Km
2019
Placa **9
$285.000.000
Cuota mes aprox.*
$5.086.441
Contactar vendedor","Ford F150
Raptor 3.5 Doble cabina","Bogota
77.000 Km
2019
Placa **9","$285.000.000
Cuota mes aprox.*
$5.086.441"
11,"Renault Stepway
Dynamique
Medellin
67.000 Km
2017
Placa **9
$48.000.000
Cuota mes aprox.*
$856.663
Contactar vendedor","Renault Stepway
Dynamique","Medellin
67.000 Km
2017
Placa **9","$48.000.000
Cuota mes aprox.*
$856.663"
12,"Chevrolet Spark
1.0 Life Mecanico Aire Acondicionado
Medellin
47.000 Km
2019
Placa **0
$33.000.000
Cuota mes aprox.*
$588.956
Contactar vendedor","Chevrolet Spark
1.0 Life Mecanico Aire Acondicionado","Medellin
47.000 Km
2019
Placa **0","$33.000.000
Cuota mes aprox.*
$588.956"
13,"Chevrolet Tracker
1.8 FWD LT Automatica
Medellin
77.000 Km
2014
Placa **6
$52.000.000
Cuota mes aprox.*
$928.052
Contactar vendedor","Chevrolet Tracker
1.8 FWD LT Automatica","Medellin
77.000 Km
2014
Placa **6","$52.000.000
Cuota mes aprox.*
$928.052"
14,"Renault Logan
1.6 Expression Aire Acondicionado
Medellin
143.000 Km
2008
Placa **8
$23.500.000
Cuota mes aprox.*
$419.408
Contactar vendedor","Renault Logan
1.6 Expression Aire Acondicionado","Medellin
143.000 Km
2008
Placa **8","$23.500.000
Cuota mes aprox.*
$419.408"
15,"Toyota Prado
Sumo Cruiser
Bogota
241.640 Km
2005
Placa **9
$52.900.000
Cuota mes aprox.*
$944.114
Contactar vendedor","Toyota Prado
Sumo Cruiser","Bogota
241.640 Km
2005
Placa **9","$52.900.000
Cuota mes aprox.*
$944.114"
16,"BMW X1
sDrive 18d
Bogota
57.500 Km
2017
Placa **8
$104.800.000
Cuota mes aprox.*
$1.870.382
Contactar vendedor","BMW X1
sDrive 18d","Bogota
57.500 Km
2017
Placa **8","$104.800.000
Cuota mes aprox.*
$1.870.382"
17,"Chevrolet Tracker
undefined
Bogota
25.565 Km
2021
Placa **9
$80.000.000
Cuota mes aprox.*
$1.427.772
Contactar vendedor","Chevrolet Tracker
undefined","Bogota
25.565 Km
2021
Placa **9","$80.000.000
Cuota mes aprox.*
$1.427.772"
18,"Mazda CX-3
Grand Touring LX
Medellin
66.000 Km
2017
Placa **3
$84.000.000
Cuota mes aprox.*
$1.499.161
Contactar vendedor","Mazda CX-3
Grand Touring LX","Medellin
66.000 Km
2017
Placa **3","$84.000.000
Cuota mes aprox.*
$1.499.161"
19,"Dodge Journey
2.4 SE 7 Puestos
Bogota
96.600 Km
2010
Placa **1
$37.000.000
Cuota mes aprox.*
$660.344
Contactar vendedor","Dodge Journey
2.4 SE 7 Puestos","Bogota
96.600 Km
2010
Placa **1","$37.000.000
Cuota mes aprox.*
$660.344"
20,"Mazda 3
2.0 Grand Touring Aut
Bogota
45.000 Km
2017
Placa **8
$75.000.000
Cuota mes aprox.*
$1.338.537
Contactar vendedor","Mazda 3
2.0 Grand Touring Aut","Bogota
45.000 Km
2017
Placa **8","$75.000.000
Cuota mes aprox.*
$1.338.537"
21,"Hyundai Tucson
undefined
Bogota
117.300 Km
2008
Placa **4
$45.000.000
Cuota mes aprox.*
$803.122
Contactar vendedor","Hyundai Tucson
undefined","Bogota
117.300 Km
2008
Placa **4","$45.000.000
Cuota mes aprox.*
$803.122"
22,"Ford Ecosport
undefined
Bogota
50.400 Km
2016
Placa **0
$73.000.000
Cuota mes aprox.*
$1.302.842
Contactar vendedor","Ford Ecosport
undefined","Bogota
50.400 Km
2016
Placa **0","$73.000.000
Cuota mes aprox.*
$1.302.842"
23,"Renault Logan
Trip Advisor
Bogota
57.700 Km
2018
Placa **3
$42.000.000
Cuota mes aprox.*
$749.580
Contactar vendedor","Renault Logan
Trip Advisor","Bogota
57.700 Km
2018
Placa **3","$42.000.000
Cuota mes aprox.*
$749.580"
24,"Renault Sandero
GT Line
Bogota
95.200 Km
2014
Placa **8
$31.000.000
Cuota mes aprox.*
$553.262
Contactar vendedor","Renault Sandero
GT Line","Bogota
95.200 Km
2014
Placa **8","$31.000.000
Cuota mes aprox.*
$553.262"
25,,,,
26,"BMW X3
Xdrive 20d
Bogota
51.800 Km
2018
Placa **7
$160.000.000
Cuota mes aprox.*
$2.855.545
Contactar vendedor","BMW X3
Xdrive 20d","Bogota
51.800 Km
2018
Placa **7","$160.000.000
Cuota mes aprox.*
$2.855.545"
27,"Suzuki Swift
1.4 GL Mecanico Aire Acondicionado
Bogota
123.000 Km
2013
Placa **1
$32.000.000
Cuota mes aprox.*
$571.109
Contactar vendedor","Suzuki Swift
1.4 GL Mecanico Aire Acondicionado","Bogota
123.000 Km
2013
Placa **1","$32.000.000
Cuota mes aprox.*
$571.109"
28,"Renault Sandero
1.6 Expression Mecanico
Bogota
31.000 Km
2020
Placa **1
$46.100.000
Cuota mes aprox.*
$822.754
Contactar vendedor","Renault Sandero
1.6 Expression Mecanico","Bogota
31.000 Km
2020
Placa **1","$46.100.000
Cuota mes aprox.*
$822.754"
