"Position","Tarjeta","Marca","tags","Precios"
1,"JEEP Compass
Longitude 1.3T Automatica
Bogota
12 Km
2023
Placa **9
$138.900.000
Cuota mes aprox.*
$2.478.970
Contactar vendedor","JEEP Compass
Longitude 1.3T Automatica","Bogota
12 Km
2023
Placa **9","$138.900.000
Cuota mes aprox.*
$2.478.970"
2,"Ford F150
Raptor Super Cab
Bogota
44.000 Km
2019
Placa **4
$280.000.000
Cuota mes aprox.*
$4.997.205
Contactar vendedor","Ford F150
Raptor Super Cab","Bogota
44.000 Km
2019
Placa **4","$280.000.000
Cuota mes aprox.*
$4.997.205"
3,"Ford Focus
2.0 Titanium Powershift Automatico
Bucaramanga
112.000 Km
2014
Placa **8
$42.000.000
Cuota mes aprox.*
$749.580
Contactar vendedor","Ford Focus
2.0 Titanium Powershift Automatico","Bucaramanga
112.000 Km
2014
Placa **8","$42.000.000
Cuota mes aprox.*
$749.580"
4,,,,
5,"Nissan March
Advance Automatico
Bogota
93.000 Km
2014
Placa **0
$39.950.000
Cuota mes aprox.*
$712.994
Contactar vendedor","Nissan March
Advance Automatico","Bogota
93.000 Km
2014
Placa **0","$39.950.000
Cuota mes aprox.*
$712.994"
6,"Ford Ecosport
2.0 4X2 AUT TITANIUM
Bogota
63.500 Km
2017
Placa **6
$64.500.000
Cuota mes aprox.*
$1.151.141
Contactar vendedor","Ford Ecosport
2.0 4X2 AUT TITANIUM","Bogota
63.500 Km
2017
Placa **6","$64.500.000
Cuota mes aprox.*
$1.151.141"
7,"Chevrolet Blazer 4x4
Automatica
Bogota
215.000 Km
1999
Placa **3
$18.500.000
Cuota mes aprox.*
$330.172
Contactar vendedor","Chevrolet Blazer 4x4
Automatica","Bogota
215.000 Km
1999
Placa **3","$18.500.000
Cuota mes aprox.*
$330.172"
8,"Hyundai Tucson
2.7 4x4 Automatica Full Equipo
Bogota
163.000 Km
2007
Placa **1
$37.500.000
Cuota mes aprox.*
$669.268
Contactar vendedor","Hyundai Tucson
2.7 4x4 Automatica Full Equipo","Bogota
163.000 Km
2007
Placa **1","$37.500.000
Cuota mes aprox.*
$669.268"
9,"Renault Sandero
Life Plus Polar
Bogota
78.000 Km
2018
Placa **5
$40.500.000
Cuota mes aprox.*
$722.810
Contactar vendedor","Renault Sandero
Life Plus Polar","Bogota
78.000 Km
2018
Placa **5","$40.500.000
Cuota mes aprox.*
$722.810"
10,"Suzuki Grand Vitara Sz
2.0 4x4 5 Puertas Mecanica
Bogota
128.500 Km
2010
Placa **9
$54.500.000
Cuota mes aprox.*
$972.670
Contactar vendedor","Suzuki Grand Vitara Sz
2.0 4x4 5 Puertas Mecanica","Bogota
128.500 Km
2010
Placa **9","$54.500.000
Cuota mes aprox.*
$972.670"
11,"Renault Symbol
Alize 1.6 Mecanico Aire Acondicionado
Bogota
167.000 Km
2008
Placa **2
$20.590.000
Cuota mes aprox.*
$367.473
Contactar vendedor","Renault Symbol
Alize 1.6 Mecanico Aire Acondicionado","Bogota
167.000 Km
2008
Placa **2","$20.590.000
Cuota mes aprox.*
$367.473"
12,"Volkswagen Jetta
2.0 Europa Full Equipo
Bogota
87.500 Km
2015
Placa **0
$42.950.000
Cuota mes aprox.*
$766.535
Contactar vendedor","Volkswagen Jetta
2.0 Europa Full Equipo","Bogota
87.500 Km
2015
Placa **0","$42.950.000
Cuota mes aprox.*
$766.535"
13,"Mercedes Benz Clase C
200 CGI Avantgarde Aut
Bogota
77.500 Km
2014
Placa **5
$79.000.000
Cuota mes aprox.*
$1.409.925
Contactar vendedor","Mercedes Benz Clase C
200 CGI Avantgarde Aut","Bogota
77.500 Km
2014
Placa **5","$79.000.000
Cuota mes aprox.*
$1.409.925"
14,"Volkswagen Tiguan
Trend & Fun Tiptonic Techo Panoramico
Bogota
54.000 Km
2018
Placa **2
$99.590.000
Cuota mes aprox.*
$1.777.398
Contactar vendedor","Volkswagen Tiguan
Trend & Fun Tiptonic Techo Panoramico","Bogota
54.000 Km
2018
Placa **2","$99.590.000
Cuota mes aprox.*
$1.777.398"
15,"KIA Rio
Vibrant 1.4 Sedan Automatico
Bogota
23.320 Km
2020
Placa **4
$63.000.000
Cuota mes aprox.*
$1.124.371
Contactar vendedor","KIA Rio
Vibrant 1.4 Sedan Automatico","Bogota
23.320 Km
2020
Placa **4","$63.000.000
Cuota mes aprox.*
$1.124.371"
16,"Chevrolet Tracker
1.8 FWD LT Automatica
Medellin
77.000 Km
2014
Placa **6
$52.000.000
Cuota mes aprox.*
$928.052
Contactar vendedor","Chevrolet Tracker
1.8 FWD LT Automatica","Medellin
77.000 Km
2014
Placa **6","$52.000.000
Cuota mes aprox.*
$928.052"
17,"Renault Logan
1.6 Expression Aire Acondicionado
Medellin
143.000 Km
2008
Placa **8
$23.500.000
Cuota mes aprox.*
$419.408
Contactar vendedor","Renault Logan
1.6 Expression Aire Acondicionado","Medellin
143.000 Km
2008
Placa **8","$23.500.000
Cuota mes aprox.*
$419.408"
